No,Question,Answer,Category,Remarks,F0,F1,Next,Last
1,彼は少年です,Er ist ein Junge.,ドイツ語,Lektion1,1,1,2019-05-15,2019-05-14
2,彼女は少女です,Sie ist ein Madchen.,ドイツ語,Lektion1,2,1,2019-05-16,2019-05-14
3,アンナもまた子供です。,Anna ist auch ein Kind.,ドイツ語,Lektion1,1,1,2019-05-15,2019-05-14
4,病気,krank,ドイツ語,,1,1,2019-05-15,2019-05-14
5,健康,gesund,ドイツ語,,1,1,2019-05-15,2019-05-14
6,彼は大きくない,Er ist nicht groß.,ドイツ語,,1,1,2019-05-15,2019-05-14
7,this/thatを表すドイツ語,das,ドイツ語,,1,1,2019-05-15,2019-05-14
8,ドイツ語で「ここに」,hier,ドイツ語,,1,1,2019-05-15,2019-05-14
9,ドイツ語で「あそこに」,dort,ドイツ語,,1,1,2019-05-15,2019-05-14
10,ドイツ語で「そこに(気持ち的に近い)」,da,ドイツ語,,1,1,2019-05-15,2019-05-14
11,莫大な寄付によって、大学は新しい図書館を建てた。,Enormous donation allowed the university to build a new library.,英語,1,1,1,2019-05-15,2019-05-14
12,選挙によってカンボジアが平和になるように望んでいます,I hope that the election will bring peace from Cambodians.,英語,2,1,1,2019-05-15,2019-05-14
13,新しい法律のおかげで、大きな教育改革が行われた,The new law has bought about great changes in education.,英語,3,1,1,2019-05-15,2019-05-14
14,男の子が道路に飛び出したので、自転車は大きくふくらんだ。,"A boy ran into the road, causing the cyclist to swerve.",英語,4,1,1,2019-05-15,2019-05-14
15,否定冠詞をそれぞれ答えなさい,kein/keine/kein,ドイツ語,,1,1,2019-05-15,2019-05-14
16,どちらをさがしていますか,Which are you looking for?,英語,Forest,1,1,2019-05-15,2019-05-14
17,どちらの本がほしいですか,Which book do you want?,英語,Forest,1,1,2019-05-15,2019-05-14
18,どちらがあなたのコートですか,Which is your coat?,英語,Forest,1,0,2019-05-15,2019-05-14
19,そのことを話すのはやめよう,Let's not talk about it.,英語,Forest,1,1,2019-05-15,2019-05-14
